TransactionDate,GroupCostPrice,GroupQuantity
07/28/20,8136.256,3.642
07/29/20,19393.54,8.749
07/30/20,0,0
07/31/20,0,0
08/01/20,0,0
08/02/20,0,0
08/03/20,0,0
08/04/20,17720.93,8.164
08/05/20,9186.515,4.173
08/06/20,13255.28,6.059
08/07/20,0,0
08/08/20,13518.07,6.095
08/09/20,8127.845,3.749
08/10/20,15005.59,6.844
08/11/20,13747.11,6.348
08/12/20,16926.96,7.75
08/13/20,15771.32,7.149
08/14/20,0,0
08/15/20,18770.87,8.559
08/16/20,26522.86,12.02
08/17/20,23628.85,10.74
08/18/20,20388.34,9.309
08/19/20,22246.84,10.07
08/20/20,12343.2,5.59
08/21/20,0,0
08/22/20,27696.14,12.56
08/23/20,18412.46,8.521
08/24/20,11844.99,5.391
08/25/20,12411.71,5.75
08/26/20,29139.38,13.31
08/27/20,31282.48,14.11
08/28/20,0,0
08/29/20,14919.99,6.934
08/30/20,29537.39,16.31
08/31/20,23969.72,10.81
09/01/20,4237.05,1.966
09/02/20,19033.97,8.55
09/03/20,15469.29,6.987
09/04/20,0,0
09/05/20,27835.58,12.75
09/06/20,12440.36,5.634
09/07/20,25882.69,11.65
09/08/20,10306.35,4.682
09/09/20,27567.55,12.43
09/10/20,38419.45,17.42
09/11/20,0,0
